"Date","Team","Opp","BO","Pos","PA","H","2B","3B","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+"
"<a href=""wins.aspx?date=2017-09-02&team=Nationals&dh=0"">2017-09-02</a>","WSN","@MIL","5","3B","4","0","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-31&team=Nationals&dh=0"">2017-08-31</a>","WSN","@MIL","6","3B","4","1","0","0","0","0","0","0","0","25.0 %","25.0 %",".000",".500",".333",".500",".333",".392","142"
"<a href=""wins.aspx?date=2017-08-30&team=Nationals&dh=0"">2017-08-30</a>","WSN","MIA","3","3B","4","2","1","0","0","0","1","0","0","0.0 %","25.0 %",".250",".667",".500",".500",".750",".527","230"
"<a href=""wins.aspx?date=2017-08-29&team=Nationals&dh=0"">2017-08-29</a>","WSN","MIA","6","3B","4","2","1","0","0","0","4","0","0","25.0 %","25.0 %",".333","1.000",".667",".750","1.000",".700","344"
"<a href=""wins.aspx?date=2017-08-28&team=Nationals&dh=0"">2017-08-28</a>","WSN","MIA","5","3B","5","1","0","0","0","0","1","0","0","20.0 %","20.0 %",".000",".333",".250",".400",".250",".314","90"
"<a href=""wins.aspx?date=2017-08-27&team=Nationals&dh=2"">2017-08-27</a>","WSN","NYM","4","3B","4","2","0","0","0","1","1","1","0","25.0 %","0.0 %",".000",".667",".667",".750",".667",".611","286"
"<a href=""wins.aspx?date=2017-08-27&team=Nationals&dh=1"">2017-08-27</a>","WSN","NYM","3","3B","5","0","0","0","0","0","0","0","0","0.0 %","40.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-08-26&team=Nationals&dh=0"">2017-08-26</a>","WSN","NYM","3","3B","5","2","1","0","0","1","1","0","0","0.0 %","0.0 %",".200",".400",".400",".400",".600",".422","161"
"<a href=""wins.aspx?date=2017-08-25&team=Nationals&dh=0"">2017-08-25</a>","WSN","NYM","7","PH","1","0","0","0","0","0","0","0","0","100.0 %","0.0 %",".000",".000",".000","1.000",".000",".693","339"
"<a href=""wins.aspx?date=2017-08-24&team=Nationals&dh=0"">2017-08-24</a>","WSN","@HOU","5","3B","5","2","2","0","0","1","1","0","0","20.0 %","0.0 %",".667",".500",".667",".600","1.333",".631","299"
