"Date","Team","Opp","BO","Pos","PA","H","2B","3B","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+"
"<a href=""wins.aspx?date=2017-05-24&team=Nationals&dh=0"">2017-05-24</a>","WSN","SEA","2","LF","4","0","0","0","0","1","0","0","0","25.0 %","25.0 %",".000",".000",".000",".250",".000",".173","-3"
"<a href=""wins.aspx?date=2017-05-23&team=Nationals&dh=0"">2017-05-23</a>","WSN","SEA","2","LF","5","1","0","0","1","1","2","0","0","20.0 %","0.0 %",".750",".000",".250",".400","1.000",".534","235"
"<a href=""wins.aspx?date=2017-05-21&team=Nationals&dh=0"">2017-05-21</a>","WSN","@ATL","6","LF","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-05-20&team=Nationals&dh=0"">2017-05-20</a>","WSN","@ATL","2","LF","4","1","0","0","0","0","1","0","0","0.0 %","0.0 %",".000",".250",".250",".250",".250",".219","28"
"<a href=""wins.aspx?date=2017-05-19&team=Nationals&dh=0"">2017-05-19</a>","WSN","@ATL","2","LF","5","0","0","0","0","1","0","0","0","20.0 %","0.0 %",".000",".000",".000",".200",".000",".139","-25"
"<a href=""wins.aspx?date=2017-05-17&team=Nationals&dh=0"">2017-05-17</a>","WSN","@PIT","2","LF","4","0","0","0","0","0","0","0","0","25.0 %","0.0 %",".000",".000",".000",".250",".000",".173","-3"
"<a href=""wins.aspx?date=2017-05-16&team=Nationals&dh=0"">2017-05-16</a>","WSN","@PIT","2","LF","5","3","0","0","0","1","1","0","0","0.0 %","20.0 %",".000",".750",".600",".600",".600",".526","229"
"<a href=""wins.aspx?date=2017-05-13&team=Nationals&dh=0"">2017-05-13</a>","WSN","PHI","2","LF","4","1","0","0","0","1","0","0","1","50.0 %","0.0 %",".000",".500",".500",".750",".500",".565","256"
"<a href=""wins.aspx?date=2017-05-10&team=Nationals&dh=0"">2017-05-10</a>","WSN","BAL","2","LF","5","2","0","0","1","1","1","0","0","40.0 %","0.0 %","1.000",".500",".667",".800","1.667",".848","442"
"<a href=""wins.aspx?date=2017-05-09&team=Nationals&dh=0"">2017-05-09</a>","WSN","@BAL","2","DH","5","0","0","0","0","0","0","0","0","20.0 %","40.0 %",".000",".000",".000",".200",".000",".139","-25"
"<a href=""wins.aspx?date=2017-05-08&team=Nationals&dh=0"">2017-05-08</a>","WSN","@BAL","2","LF","4","2","1","0","0","1","0","0","0","0.0 %","25.0 %",".250",".667",".500",".500",".750",".527","230"
"<a href=""wins.aspx?date=2017-05-07&team=Nationals&dh=0"">2017-05-07</a>","WSN","@PHI","2","LF","5","4","1","0","2","3","3","0","1","0.0 %","20.0 %","1.400","1.000",".800",".800","2.200","1.213","682"
"<a href=""wins.aspx?date=2017-05-06&team=Nationals&dh=0"">2017-05-06</a>","WSN","@PHI","2","LF","4","1","0","0","0","1","0","0","0","0.0 %","50.0 %",".000",".500",".250",".250",".250",".219","28"
"<a href=""wins.aspx?date=2017-05-05&team=Nationals&dh=0"">2017-05-05</a>","WSN","@PHI","2","LF","5","3","0","0","0","1","0","0","0","0.0 %","0.0 %",".000",".600",".600",".600",".600",".526","229"
"<a href=""wins.aspx?date=2017-05-04&team=Nationals&dh=0"">2017-05-04</a>","WSN","ARI","2","LF","5","0","0","0","0","0","0","1","0","40.0 %","20.0 %",".000",".000",".000",".400",".000",".277","66"
"<a href=""wins.aspx?date=2017-05-03&team=Nationals&dh=0"">2017-05-03</a>","WSN","ARI","2","LF","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-05-02&team=Nationals&dh=0"">2017-05-02</a>","WSN","ARI","2","LF","5","0","0","0","0","0","0","0","0","20.0 %","60.0 %",".000",".000",".000",".200",".000",".139","-25"
"<a href=""wins.aspx?date=2017-04-30&team=Nationals&dh=0"">2017-04-30</a>","WSN","NYM","2","LF","5","2","0","0","0","2","0","0","0","20.0 %","0.0 %",".000",".500",".500",".600",".500",".489","205"
"<a href=""wins.aspx?date=2017-04-29&team=Nationals&dh=0"">2017-04-29</a>","WSN","NYM","7","LF","4","1","1","0","0","0","0","1","0","25.0 %","0.0 %",".333",".333",".333",".500",".667",".481","200"
"<a href=""wins.aspx?date=2017-04-28&team=Nationals&dh=0"">2017-04-28</a>","WSN","NYM","7","LF","4","0","0","0","0","0","0","0","0","0.0 %","75.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-04-27&team=Nationals&dh=0"">2017-04-27</a>","WSN","@COL","6","LF","5","2","0","0","0","3","0","1","0","20.0 %","0.0 %",".000",".667",".667",".800",".667",".634","300"
"<a href=""wins.aspx?date=2017-04-26&team=Nationals&dh=0"">2017-04-26</a>","WSN","@COL","7","LF","4","1","0","0","0","1","0","0","0","50.0 %","25.0 %",".000","1.000",".500",".750",".500",".565","256"
"<a href=""wins.aspx?date=2017-04-25&team=Nationals&dh=0"">2017-04-25</a>","WSN","@COL","7","LF","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-04-24&team=Nationals&dh=0"">2017-04-24</a>","WSN","@COL","6","LF","4","1","1","0","0","0","0","0","0","25.0 %","0.0 %",".333",".333",".333",".500",".667",".481","200"
"<a href=""wins.aspx?date=2017-04-23&team=Nationals&dh=0"">2017-04-23</a>","WSN","@NYM","7","LF","3","0","0","0","0","0","0","0","0","0.0 %","33.3 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-04-19&team=Nationals&dh=0"">2017-04-19</a>","WSN","@ATL","6","LF","1","1","0","0","0","1","0","0","0","0.0 %","0.0 %",".000","1.000","1.000","1.000","1.000",".876","460"
"<a href=""wins.aspx?date=2017-04-18&team=Nationals&dh=0"">2017-04-18</a>","WSN","@ATL","6","LF","4","0","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-04-16&team=Nationals&dh=0"">2017-04-16</a>","WSN","PHI","6","LF","4","1","0","0","0","0","0","0","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".219","28"
"<a href=""wins.aspx?date=2017-04-14&team=Nationals&dh=0"">2017-04-14</a>","WSN","PHI","6","LF","4","1","0","0","0","0","0","0","0","25.0 %","25.0 %",".000",".500",".333",".500",".333",".392","142"
"<a href=""wins.aspx?date=2017-04-12&team=Nationals&dh=0"">2017-04-12</a>","WSN","STL","6","LF","4","0","0","0","0","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100"
"<a href=""wins.aspx?date=2017-04-11&team=Nationals&dh=0"">2017-04-11</a>","WSN","STL","6","LF","4","1","0","0","1","1","1","0","0","0.0 %","25.0 %",".750",".000",".250",".250","1.000",".495","209"
"<a href=""wins.aspx?date=2017-04-10&team=Nationals&dh=0"">2017-04-10</a>","WSN","STL","6","LF","5","2","0","0","0","2","0","0","0","20.0 %","20.0 %",".000",".667",".500",".600",".500",".438","172"
"<a href=""wins.aspx?date=2017-04-09&team=Nationals&dh=0"">2017-04-09</a>","WSN","@PHI","6","LF","4","0","0","0","0","1","0","0","0","50.0 %","25.0 %",".000",".000",".000",".500",".000",".346","111"
"<a href=""wins.aspx?date=2017-04-08&team=Nationals&dh=0"">2017-04-08</a>","WSN","@PHI","6","LF","3","2","0","0","0","0","2","0","0","0.0 %","33.3 %",".000","1.000",".667",".667",".667",".584","268"
"<a href=""wins.aspx?date=2017-04-07&team=Nationals&dh=0"">2017-04-07</a>","WSN","@PHI","6","LF","4","1","0","0","1","1","3","0","0","0.0 %","75.0 %",".750",".000",".250",".250","1.000",".495","209"
"<a href=""wins.aspx?date=2017-04-06&team=Nationals&dh=0"">2017-04-06</a>","WSN","MIA","7","LF","4","2","0","0","1","1","1","0","0","0.0 %","0.0 %",".750",".333",".500",".500","1.250",".714","353"
"<a href=""wins.aspx?date=2017-04-05&team=Nationals&dh=0"">2017-04-05</a>","WSN","MIA","7","LF","4","2","0","0","0","0","0","0","0","0.0 %","0.0 %",".000",".500",".500",".500",".500",".438","172"
"<a href=""wins.aspx?date=2017-04-03&team=Nationals&dh=0"">2017-04-03</a>","WSN","MIA","6","LF","4","0","0","0","0","0","0","0","0","0.0 %","75.0 %",".000",".000",".000",".000",".000",".000","-100"
